ParticipantID,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_9,genre_10,genre_11,genre_12,genre_13,genre_14,genre_15,genre_16,genre_17,genre_18,genre_19,stim_1,stim_2,stim_3,stim_4,stim_5,stim_6,stim_7,stim_8,stim_9,stim_10,stim_11,stim_12,stim_13,stim_14,stim_15,stim_16,stim_17,stim_18,stim_19,stim_20,stim_21,stim_22,stim_23,stim_24,stim_25,stim_26,stim_27,stim_28,stim_29,stim_30,stim_31,stim_32,stim_33,stim_34,stim_35,stim_36,stim_37,stim_38,stim_39,stim_40,stim_41,stim_42,stim_43,stim_44,stim_45,stim_46,stim_47,stim_48,stim_49,stim_50,stim_51,stim_52,stim_53,stim_54,stim_55,stim_56,stim_57,stim_58,stim_59,stim_60,stim_61,stim_62,stim_63,stim_64,stim_65,stim_66,stim_67,stim_68,stim_69,stim_70,stim_71,stim_72,stim_73,stim_74,stim_75,stim_76,stim_77,stim_78,stim_79,stim_80,Age,Gender,Studies,Incomes,ListeningPerWeek,CatSocioParents,MusicPlaces,Musician,Foreign,Genetics,Groceries,City
26,0,-2,1,1,2,1,1,2,3,1,-2,-2,1,3,1,1,1,1,2,1,0,0,2,1,1,0,1,-1,1,-1,-2,3,2,0,0,1,0,1,1,2,1,3,0,1,2,3,-1,2,3,-1,1,2,3,0,-3,0,3,1,3,1,0,0,3,3,3,2,-2,0,1,3,1,1,2,0,-1,1,1,2,1,1,2,0,-3,3,-1,-1,0,2,-2,1,2,2,1,1,0,0,-1,-3,-1,21,Female,1,2,3,3,Serata in appartamento,0,1,45,2,Rome
27,2,3,2,2,0,3,3,1,2,3,-2,-2,-1,0,2,2,1,2,2,1,2,1,1,2,1,1,-1,1,-1,2,1,1,1,1,2,-2,-3,-1,0,1,1,1,1,-1,-1,0,1,1,2,1,1,-1,1,1,0,-3,-2,-1,1,1,-2,2,0,0,-3,2,0,1,2,-1,1,1,0,-2,1,-2,1,1,-3,2,1,0,-2,0,1,0,1,1,-3,2,1,1,-3,0,2,1,2,-2,-2,34,Male,1,3,4,2,Serata in appartamento,1,0,50,6,Rome
28,2,1,3,3,3,3,2,3,3,3,1,3,2,3,0,-1,1,2,2,2,1,1,1,1,3,0,2,3,1,2,0,1,3,2,1,2,0,3,3,1,0,2,3,0,2,3,-1,1,3,1,3,2,3,0,1,2,3,1,2,0,2,1,1,3,3,0,2,0,3,3,1,3,3,3,0,1,1,0,-3,3,2,1,2,3,3,2,3,0,3,2,-1,3,-2,2,0,2,1,-1,-2,28,Male,1,3,3,3,Serata in appartamento,1,0,25,5,Rome
29,2,0,2,3,1,2,3,1,3,1,-3,2,1,2,3,1,2,2,3,1,-1,1,0,1,1,2,-1,1,-2,2,1,0,1,1,2,-2,-3,1,1,2,-1,1,2,0,1,0,2,2,2,1,2,0,1,1,1,-3,-3,0,0,1,1,2,1,0,-1,0,2,1,1,-1,2,2,2,-2,1,2,0,0,-2,0,0,1,-3,3,3,1,1,1,-1,2,0,1,1,2,-2,1,1,-3,-1,28,Male,1,1,4,3,Locale,1,0,0,1,Rome
30,3,3,2,2,3,3,3,2,3,2,-1,2,2,3,2,2,2,3,3,3,-1,1,1,2,-1,1,-1,3,1,-2,-2,1,1,-1,-3,-2,-2,3,-2,1,2,1,2,1,2,2,1,2,2,1,2,2,2,3,-3,-3,1,1,1,-1,1,-2,3,1,0,1,-2,-1,3,-2,1,3,-1,1,-2,-2,-1,2,1,2,-3,2,-2,3,3,-2,1,2,3,0,2,1,0,1,1,-1,1,-2,1,19,Female,1,2,4,2,Serata in appartamento,0,0,70,3,Rome
31,1,2,1,0,0,2,3,-3,3,1,1,3,0,2,-1,-3,0,1,NaN,1,1,-1,-1,1,2,3,1,3,3,1,2,-2,-1,1,-2,-3,1,3,-1,2,2,1,0,-1,0,-2,-2,1,3,3,1,0,3,1,0,2,2,0,-2,0,1,3,0,2,0,1,-1,-1,2,1,3,-1,1,1,-3,1,0,-1,-3,0,-3,0,1,3,2,1,1,2,3,-2,2,-2,1,2,-1,0,1,0,-3,20,Female,1,3,3,1,Serata in appartamento,0,1,40,1,Rome
32,1,1,3,3,-1,-3,0,1,2,3,-3,-3,-3,-3,-2,-2,-2,-2,2,1,0,0,1,0,0,0,1,-2,-1,0,-1,1,1,0,-2,0,-2,1,0,0,2,3,0,0,-1,-1,-1,-1,1,-1,1,0,1,0,-3,0,2,1,0,0,-2,-2,0,1,0,1,-1,-1,1,0,1,0,-3,3,-1,0,1,-1,0,0,0,1,-3,1,0,-1,2,1,-2,0,0,0,0,2,1,0,0,-3,1,-59,Female,1,1,1,1,Locale,0,0,10,2,Rome
33,-1,-1,2,2,3,3,-1,1,1,2,-1,1,-1,1,1,-2,-2,2,0,3,-1,0,1,2,2,-1,-1,2,1,-2,-1,2,2,0,0,-2,-1,3,1,1,3,2,2,1,0,3,-3,1,3,1,3,1,2,0,-1,-3,1,0,2,0,0,0,3,1,1,2,-1,0,1,1,3,0,0,-2,0,-2,-1,2,-1,1,-1,0,0,3,0,-1,2,2,2,1,0,0,1,2,-1,0,0,-3,-2,20,Female,1,1,5,1,Locale,0,0,30,1,Rome
34,-3,-3,2,2,-1,-1,-1,-1,3,2,3,3,2,2,-1,-3,-3,3,3,1,0,0,1,0,0,0,1,-2,-1,0,-1,1,1,0,-2,0,-2,1,0,0,2,3,0,0,-1,-1,-1,-1,1,-1,1,0,1,0,-3,0,2,1,0,0,-2,-2,0,1,0,1,-1,-1,1,0,1,0,-3,3,-1,0,1,-1,0,0,0,1,-3,1,0,-1,2,1,-2,0,0,0,0,2,1,0,0,-3,1,21,Female,1,1,3,3,Sala da concerto,1,0,60,5,Rome
35,2,2,-1,-1,2,0,2,1,-3,1,-3,1,2,0,1,2,1,2,2,3,2,2,1,2,3,2,1,3,1,3,2,1,1,1,1,1,1,-1,1,2,1,1,2,1,-2,1,1,3,1,0,2,1,3,2,1,-1,2,0,1,0,3,3,1,2,2,2,-1,1,2,2,3,2,0,0,0,0,2,2,2,1,1,1,-3,-1,0,1,1,0,1,-1,2,0,2,1,1,0,2,-2,1,30,Female,1,4,1,1,Locale,0,0,60,2,Rome
